V_DS_0,I_D_0,V_DS_1,I_D_1,V_DS_2,I_D_2,V_DS_3,I_D_3,V_DS_4,I_D_4,V_DS_5,I_D_5,V_DS_6,I_D_6,V_DS_7,I_D_7
0.003,0,0.003,0.004,0.003,0,0.003,0,0.004,0,0.004,0,0.0005,0,0.0037,0.0001
0.137,0.3,0.114,0.21,0.095,0.19,0.08,0.12,0.095,0.1,0.126,0.08,0.0134,0.0047,0.0593,0.0014
0.212,0.43,0.212,0.4,0.212,0.39,0.228,0.29,0.197,0.2,0.214,0.12,0.0256,0.0085,0.1477,0.0017
0.302,0.63,0.318,0.6,0.303,0.45,0.319,0.39,0.29,0.25,0.304,0.16,0.0464,0.0146,0.2064,0.0017
0.393,0.8,0.408,0.72,0.394,0.6,0.412,0.42,0.395,0.32,0.411,0.19,0.0653,0.0194,0.2826,0.0018
0.499,0.98,0.514,0.82,0.5,0.7,0.501,0.51,0.517,0.38,0.517,0.19,0.0715,0.0208,0.646,0.0018
0.619,1.25,0.62,1,0.621,0.8,0.622,0.6,0.602,0.39,0.624,0.2,0.095,0.0257,0.798,0.0018
0.725,1.29,0.726,1.1,0.727,0.86,0.728,0.61,0.729,0.4,0.73,0.2,0.1033,0.0272,1.026,0.0019
0.832,1.41,0.833,1.2,0.803,0.92,0.789,0.62,0.792,0.4,0.806,0.2,0.113,0.0288,1.238,0.002
0.909,1.5,0.938,1.24,0.939,0.99,0.911,0.66,0.912,0.4,0.9,0.2,0.1283,0.0312,0.001526,0.002
1.075,1.62,1.014,1.31,1.016,1,1.001,0.68,1,0.4,1,0.2,0.1537,0.034,0.002011,0.0021
1.103,1.65,1.12,1.39,1.122,1,1.108,0.7,1.1,0.4,1.1,0.2,0.1825,0.0364,3.046,0.0022
1.209,1.73,1.211,1.4,1.212,1.03,1.214,0.7,1.2,0.4,1.2,0.2,0.1927,0.0378,3.323,0.0022
1.316,1.79,1.302,1.41,1.319,1.05,1.3,0.7,1.3,0.4,1.3,0.2,0.2156,0.0388,4.09,0.0024
1.421,1.81,1.423,1.42,1.41,1.07,1.4,0.71,1.4,0.4,1.4,0.2,0.2265,0.0394,5.08,0.0025
1.497,1.85,1.5,1.42,1.5,1.08,1.52,0.71,1.5,0.41,1.5,0.2,0.2392,0.04,6.06,0.0025
1.603,1.88,1.62,1.48,1.622,1.08,1.6,0.71,1.619,0.41,1.6,0.2,0.2508,0.0401,7.04,0.0027
1.709,1.9,1.711,1.48,1.727,1.09,1.7,0.71,1.7,0.41,1.7,0.2,0.2637,0.0402,8.34,0.0028
1.83,1.92,1.852,1.5,1.831,1.09,1.8,0.71,1.8,0.41,1.8,0.2,0.2768,0.0406,9.05,0.0029
1.921,1.95,1.908,1.5,1.9,1.09,1.9,0.71,1.9,0.41,1.9,0.2,0.2901,0.0408,10.01,0.003
2.012,1.97,1.999,1.5,2.092,1.1,2,0.79,2,0.41,2,0.2,0.445,0.0428,11.29,0.0031
2.108,1.98,2.12,1.5,2.1,1.1,2.1,0.72,2.1,0.41,2.1,0.2,0.553,0.0432,12.03,0.0032
2.209,1.99,2.2,1.5,2.2,1.1,2.2,0.72,2.2,0.41,2.2,0.2,0.637,0.0438,13.03,0.0035
2.302,1.99,2.303,1.5,2.3,1.1,2.3,0.73,2.3,0.41,2.3,0.2,0.8,0.044,14.44,0.0035
2.4,1.99,2.4,1.5,2.4,1.1,2.4,0.74,2.4,0.41,2.4,0.2,0.906,0.0442,15.28,0.0035
2.5,1.99,2.575,1.5,2.5,1.1,2.5,0.74,2.5,0.41,2.5,0.2,1.011,0.0444,16.26,0.0037
2.6,1.99,2.6,1.5,2.6,1.1,2.6,0.74,2.6,0.41,2.6,0.2,2.387,0.046,17.5,0.0038
2.7,1.99,2.7,1.5,2.7,1.1,2.76,0.75,2.7,0.41,2.7,0.2,3.97,0.0468,18.42,0.0039
2.8,1.99,2.8,1.5,2.8,1.1,2.8,0.75,2.8,0.41,2.8,0.2,6.09,0.0478,20.1,0.004
2.9,1.99,2.9,1.5,2.9,1.1,2.9,0.75,2.9,0.41,2.929,0.2,8.16,0.048,,
2.997,2,3,1.5,3.001,1.1,3.022,0.75,2.919,0.41,3,0.2,10.47,0.0486,,
10.01,2.08,20.02,1.58,10,1.1,10,0.75,10,0.42,20,0.2,13.96,0.0498,,
20.02,2.08,10,1.54,20,1.1,20,0.75,20,0.42,10,0.2,17.02,0.05,,
,,,,,,,,,,,,20.1,0.0502,,