V1,A1,W1,V2,A2,W2,A_A,V3,A_D,P_,T[rpm],P,バネ[kg],P2,η,,V1,A1,W1,V2,A2,W2,A_A,V3,A_D,P_,T[rpm],P,バネ[kg],P2,η
200.7,9.383,588,200.5,9.404,1851,1.75,101,1.52,320,1410,1600,4.5,1.866176471,76.51400043,,199.9,9.556,627,199.6,9.577,1883,1.75,100,15.7,320,1412,1600,4.5,1.868823529,74.45512069
199.9,9.002,522,199.8,9.01,1761,1.658,100,14.4,300,1419,1500,4.1,1.711147059,74.95168895,,200.4,8.966,508,200.2,8.977,1755,1.66,100,14.4,300,1419,1500,4.1,1.711147059,75.61409893
200.1,8.539,433,199.8,8.552,1659,1.59,100,13.4,280,1426,1400,3.75,1.572794118,75.18136318,,200,8.513,431,199.9,8.523,1653,1.581,100,13.4,280,1426,1400,3.8,1.593764706,76.47623349
200.2,8.437,414,200.1,8.456,1638,1.588,100,13.1,260,1427,1300,3.55,1.489955882,72.60993579,,200.1,8.283,389,199.7,8.289,1598,1.577,100,12.7,260,1430,1300,3.5,1.472058824,74.08449036
200.2,7.972,316,200.2,7.964,1524,1.51,100,11.8,240,1436,1200,3.1,1.309294118,71.157289,,199.7,7.919,313,199.6,7.919,1511,1.5,100,11.8,240,1437,1200,3.2,1.352470588,74.14860681
199.9,7.588,241,199.5,7.59,1428,1.46,100,10.8,220,1442,1100,2.8,1.187529412,71.15215169,,199.8,7.607,233,199.7,7.589,1427,1.458,100,10.8,220,1442,1100,2.8,1.187529412,71.53791637
200,7.388,182,199.7,7.379,1372,1.435,100,10,200,1448,1000,2.4,1.022117647,65.77333636,,199.9,7.266,172,199.7,7.34,1364,1.4,100,10,200,1427,1000,2.6,1.091235294,71.04396446
199.5,6.948,90,199.2,6.895,1253,1.37,100,8.5,180,1455,900,2,0.855882353,63.7291402,,199.8,7.031,77,199.6,6.949,1260,1.362,100,8.5,180,1453,900,2.1,0.897441176,67.12349861
199.9,6.838,38,200,6.77,1210,1.35,100,7.7,160,1459,800,1.8,0.772411765,61.89196833,,200,6.833,24,199.9,6.752,1206,1.335,100,7.7,160,1459,800,1.9,0.815323529,66.28646581
200.4,6.73,-26,200.2,6.633,1163,1.32,100,6.9,140,1464,700,1.6,0.688941176,60.59289151,,200,6.682,-24,199.8,6.575,1151,1.3,100,6.8,140,1464,700,1.6,0.688941176,61.13053917
200,6.596,-83,199.8,6.459,1097,1.29,100,5.8,120,1468,600,1.3,0.561294118,55.35444947,,200.4,6.52,-91,200.1,6.487,1102,1.282,100,5.8,120,1466,600,1.2,0.517411765,51.17821609
199.9,6.4,-128,199.7,6.329,1051,1.277,100,5.1,100,1470,500,1.1,0.475588235,51.52635269,,199.7,6.364,-125,199.8,6.363,1057,1.255,100,5,100,1469,500,1.1,0.475264706,50.99406715
199.8,6.189,-237,199.3,6.061,945,1.21,100,3.2,70,1478,350,0.6,0.260823529,36.83948156,,200.3,6.229,-239,200,6.087,948,1.19,100,3.2,70,1478,350,0.6,0.260823529,36.78752178
199.9,6.144,-311,200,5.956,881,1.175,100,1.9,40,1483,200,0.5,0.218088235,38.26109391,,199.7,6.109,-304,199.7,5.978,884,1.16,100,1.9,40,1483,200,0.5,0.218088235,37.60141988
199.8,5.952,-387,199.7,5.795,796,1.125,100,0,0,1490,0,0.15,0.065735294,16.07219905,,199.9,5.948,-389,199.9,5.803,797,1.1,100,0,0,1490,0,0.1,0.043823529,10.74106113