DC+[mm],V[kV],DC-[mm],V[kV],AC[mm],V[kV]
2,6.39,2,7.63,2,6.03
2,6.54,2,7.69,2,6.59
2,6.61,2,7.63,2,6.96
2,6.77,2,7.64,2,6.97
2,6.97,2,7.48,2,6.96
5,14.51,5,16.68,5,16.06
5,14.98,5,16.95,5,16.06
5,16.26,5,16.97,5,16.03
5,16.01,5,16.71,5,16
5,15.94,5,16.95,5,16.04
10,30.76,10,30.18,10,30.05
10,31.9,10,29.46,10,30.12
10,32.03,10,28.39,10,30.01
10,30.73,10,31.98,10,29.33
10,32.03,10,29.24,10,29.52
15,45.11,15,40.73,15,42.19
15,45.08,15,43.65,15,41.95
15,44.81,15,44.37,15,42.21
15,44.97,15,44.16,15,42.01
15,44.83,15,44.63,15,42.08
20,56.82,20,53.4,20,51.97
20,55.26,20,54.61,20,51.62
20,55.77,20,55.23,20,51.84
20,56,20,55.27,20,51.78
20,54.73,20,55.16,20,51.91