V_GS1,V_DS1,V_GS2,V_DS2,V_GS3,V_DS3,V_GS4,V_DS4
0,16.38,0,11,0,0.866,0,1.71
0.1,16.89,0.1,11.5,0.1,1.007,0.1,3.239
0.2,17.34,0.2,12.01,0.2,1.27,0.2,5.51
0.3,17.8,0.3,12.42,0.3,2.464,0.3,7.48
0.4,18.19,0.4,12.86,0.4,4.43,0.4,9.35
0.5,18.6,0.5,13.21,0.5,5.83,0.5,11.39
0.6,18.98,0.6,13.53,0.6,7.7,0.6,13.01
0.7,19.27,0.7,13.88,0.7,9.38,0.7,14.73
0.8,19.57,0.8,14.18,0.8,10.68,0.8,16.07
0.9,19.8,0.9,14.41,0.9,12.01,0.9,17.39
1,20,1,14.6,1,12.98,1,18.35
1.1,20.18,1.1,14.8,1.1,13.87,1.1,19.25
1.3,20.36,1.2,14.91,1.2,14.44,1.2,19.82
1.5,20.4,1.3,14.97,1.3,14.83,1.3,20.23
,,1.4,15,1.4,14.97,1.4,20.36
,,1.5,15,1.5,14.99,1.5,20.38
,,,,,,1.6,20.38